"id","titulo","adulto","orcamento","idioma_original","popularidade","data_de_estreia","resumo","receita","duracao","ator_1","ator_2","ator_3","ator_4","ator_5","dirigido_por","escrito_por_1","escrito_por_2","historia_original"
46498,"Candy",False,3000000,"en",8.0,"1968-12-17","Based on Terry Southern's satirical novel, a send-up of Voltaire's Candide. Young Candy is a high school girl who seeks truth and meaning in life, encountering a variety of kookie characters and humorous sexual situations in the process.",0.0,124.0,"Ewa Aulin","Charles Aznavour","Marlon Brando","Richard Burton","James Coburn","Christian Marquand","Buck Henry","",""
202239,"Start Liquidation",False,0,"en",1.0,"1983-03-12","Army and police are trying to fight crime in West Belarus during Spring of 1945.",0.0,132.0,"Oleg Strizhenov","Mikhail Zhigalov","Vasili Lanovoy","Georgiy Yumatov","Aleksandr Filippenko","Boris Grigoryev","","",""
15659,"Foul Play",False,0,"en",8.0,"1978-07-14","A shy San Francisco librarian and a bumbling cop fall in love as they solve a crime involving albinos, dwarves, and the Catholic Church.",0.0,116.0,"Chevy Chase","Goldie Hawn","Burgess Meredith","Eugene Roche","Dudley Moore","Colin Higgins","","",""
11157,"She-Devil",False,0,"en",7.0,"1989-12-08","A cunning and resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.",0.0,99.0,"Meryl Streep","Ed Begley Jr.","Linda Hunt","Roseanne Barr","Sylvia Miles","Susan Seidelman","Barry Strugatz","Mark R. Burns",""
13618,"Who's Your Daddy?",False,0,"en",22.0,"2004-01-07","An adopted Ohio high school senior discovers he is the inherited heir to a porn empire. Dropped into a bitter power struggle, his new flock of beautiful co-workers come to his aid.",0.0,105.0,"Brandon Jack James","Colleen Camp","Kadeem Hardison","Christine Lakin","Ali Landry","Andy Fickman","Andy Fickman","Maria Veltre Druse",""
16820,"F/X2",False,16400000,"en",5.0,"1991-04-16","F/X man Rollie Tyler is now a toymaker. Mike, the ex-husband of his girlfriend Kim, is a cop. He asks Rollie to help catch a killer. The operation goes well until some unknown man kills both the killer and Mike. Mike's boss, Silak says it was the killer who killed Mike but Rollie knows it wasn't. Obviously, Silak is involved with Mike's death, so he calls on Leo McCarthy, the cop from the last movie, who is now a P.I., for help and they discover it's not just Silak they have to worry about.",0.0,108.0,"Bryan Brown","Brian Dennehy","Rachel Ticotin","Tom Mason","Philip Bosco","Richard Franklin","","",""
87417,"Slither",False,0,"en",1.0,"1973-03-07","While searching for a small fortune of embezzled money, an ex-con, a small-time bandleader, his doting wife and a kooky drifter find themselves being followed. Their chase takes them to trailer camps, bingo halls, laundromats and ultimately, a showdown with a group of unconventional bad guys.",0.0,97.0,"James Caan","Peter Boyle","Sally Kellerman","Louise Lasser","Allen Garfield","Howard Zieff","","",""
9474,"My Name Is Nobody",False,0,"it",11.0,"1973-12-13","Jack Beauregard, one of the greatest gunman of the Old West, only wants to retire in peace and move to Europe. But a young gunfighter, known as ""Nobody"", who idolizes Beauregard, wants him to go out in glory. So he arranges for Jack to face the 150-man gang known as The Wild Bunch and earn his place in history.",0.0,117.0,"Terence Hill","Henry Fonda","Jean Martin","R. G. Armstrong","Karl Braun","Tonino Valerii","Ernesto Gastaldi","",""
17189,"Battle Angel",False,0,"ja",2.0,"1993-01-01","A Hunter Warrior and cyborg healer named Ido formerly lived in the floating land of Zalem, the paradise that hovers above the refuse heap of Scrap Iron City in which he now resides with his former lover, Chiren. In his travels as a bounty hunter — killing spine thieves in a world in which human nerve tissue has become the most precious commodity — Ido one day discovers and repairs the remnants of a cyborg whom he names Gally. Though possessing the body of a young woman, Gally now embodies Ido's most sophisticated and lethal cybernetic skills. The preternaturally strong, amnesiac Gally begins to forge a life for herself in a world where every day is a struggle for survival. Based on the first two volumes of the manga.",0.0,54.0,"Mami Koyama","Shunsuke Kariya","Kappei Yamaguchi","","","Hiroshi Fukutomi","","",""
422906,"The Wizard of Baghdad",False,0,"en",0.0,"1961-03-03","A genie turned mortal after his many failures is sent to Baghdad. As his last chance to prove himself he must help a prince and princess fulfill a prophecy.",0.0,92.0,"Diane Baker","Dick Shawn","Barry Coe","Robert F. Simon","Vaughn Taylor","George Sherman","Jesse Lasky Jr.","Pat Silver",""
